title,director
"阳光灿烂的日子","姜文"
"岁月神偷","罗启锐"
"贫民窟的百万富翁","丹尼·博伊尔 "
"贫民窟的百万富翁"," 洛芙琳·坦丹"
"大鱼","蒂姆·波顿"
"哈利·波特与死亡圣器(下)","大卫·叶茨"
"源代码","邓肯·琼斯"
"超脱","托尼·凯耶"
"爱在黎明破晓前","理查德·林克莱特"
"记忆碎片","克里斯托弗·诺兰"
"蝙蝠侠：黑暗骑士崛起","克里斯托弗·诺兰"
"达拉斯买家俱乐部","让-马克·瓦雷"
"初恋这件小事","普特鹏·普罗萨卡·那·萨克那卡林 "
"初恋这件小事"," 华森·波克彭"
"那些年，我们一起追的女孩","九把刀"
"音乐之声","罗伯特·怀斯"
"猫鼠游戏","史蒂文·斯皮尔伯格"
"幽灵公主","宫崎骏"
"甜蜜蜜","陈可辛"
"春光乍泄","王家卫"
"恐怖游轮","克里斯托弗·史密斯"
"小鞋子","马基德·马基迪"
"怪兽电力公司","彼特·道格特 "
"怪兽电力公司"," 大卫·斯沃曼 "
"怪兽电力公司"," 李·昂克里奇"
"爱在日落黄昏时","理查德·林克莱特"
"借东西的小人阿莉埃蒂","米林宏昌"
"恋恋笔记本","尼克·卡索维茨"
"无敌破坏王","瑞奇·摩尔"
"哈利·波特与魔法石","克里斯·哥伦布"
"上帝之城","卡迪亚·兰德 "
"上帝之城"," 费尔南多·梅里尔斯"
"唐伯虎点秋香","李力持"
"倩女幽魂","程小东"
"秒速5厘米","新海诚"
"被解救的姜戈","昆汀·塔伦蒂诺"
"穿条纹睡衣的男孩","马克·赫尔曼"
"萤火之森","大森贵弘"
"真爱至上","理查德·柯蒂斯"
"国王的演讲","汤姆·霍珀"
"控方证人","比利·怀德"
"喜剧之王","周星驰 "
"喜剧之王"," 李力持"
"大闹天宫","万籁鸣 "
"大闹天宫"," 唐澄"
"雨人","巴瑞·莱文森"
"香水","汤姆·提克威"
"菊次郎的夏天","北野武"
"一一","杨德昌"
"萤火虫之墓","高畑勋"
"傲慢与偏见","乔·赖特"
"东邪西毒","王家卫"
"摩登时代","查理·卓别林"
"风之谷","宫崎骏"
"幸福终点站","史蒂文·斯皮尔伯格"
"爱在午夜降临前","理查德·林克莱特"
"玩具总动员3","李·昂克里奇"
"碟中谍4","布拉德·伯德"
"速度与激情5","林诣彬"
"冰川时代","卡洛斯·沙尔丹哈 "
"冰川时代"," 克里斯·韦奇"
"侧耳倾听","近藤喜文"
"悲惨世界","汤姆·霍珀"
"谍影重重3","保罗·格林格拉斯"
"末代皇帝","贝纳尔多·贝托鲁奇"
"疯狂的石头","宁浩"
"终结者2","詹姆斯·卡梅隆"
"红辣椒","今敏"
"穿越时空的少女","细田守"
"穆赫兰道","大卫·林奇"
"猜火车","丹尼·博伊尔"
"这个男人来自地球","理查德·沙因克曼"
"朗读者","史蒂芬·戴德利"
"浪潮","丹尼斯·甘塞尔"
"追随","克里斯托弗·诺兰"
"你看起来好像很好吃","藤森雅也"
"花样年华","王家卫"
"神偷奶爸2","皮艾尔·柯芬 "
"神偷奶爸2"," 克里斯·雷纳德"
"人工智能","史蒂文·斯皮尔伯格"
"青蛇","徐克"
"英雄本色","吴宇森"
"卢旺达饭店","特瑞·乔治"
"教父3","弗朗西斯·福特·科波拉"
"燃情岁月","爱德华·兹威克"
"喜宴","李安"
"谍影重重","道格·里曼"
"完美的世界","克林特·伊斯特伍德"
"纵横四海","吴宇森"
"未麻的部屋","今敏"
"一次别离","阿斯哈·法哈蒂"
"七武士","黑泽明"
"两小无猜","杨·塞谬尔"
"复仇者联盟","乔斯·韦登"
"罗生门","黑泽明"
"撞车","保罗·哈吉斯"
"无耻混蛋","昆汀·塔伦蒂诺"
"我是山姆","杰茜·尼尔森"
"大卫·戈尔的一生","艾伦·帕克"
"阿飞正传","王家卫"
"变脸","吴宇森"
"月球","邓肯·琼斯"
"谍影重重2","保罗·格林格拉斯"
"虎口脱险","杰拉尔·乌里"
"战争之王","安德鲁·尼科尔"
"新龙门客栈","李惠民"
"海盗电台","理查德·柯蒂斯"
"假如爱有天意","郭在容"
"魔女宅急便","宫崎骏"
"曾经","约翰·卡尼"
"霍比特人1：意外之旅","彼得·杰克逊"
"黑客帝国3：矩阵革命","安迪·沃卓斯基 "
"黑客帝国3：矩阵革命"," 拉娜·沃卓斯基"
"美国丽人","萨姆·门德斯"
"梦之安魂曲","达伦·阿伦诺夫斯基"
"云图","汤姆·提克威 "
"云图"," 拉娜·沃卓斯基 "
"云图"," 安迪·沃卓斯基"
"发条橙","斯坦利·库布里克"
"E.T. 外星人","史蒂文·斯皮尔伯格"
"蓝色大门","易智言"
"千钧一发","安德鲁·尼科尔"
"英国病人","安东尼·明格拉"
"东京物语","小津安二郎"
"荒野生存","西恩·潘"
"和莎莫的500天","马克·韦布"
"志明与春娇","彭浩翔"
"魂断蓝桥","茂文·勒鲁瓦"
"忠犬八公物语","神山征二郎"
"非常嫌疑犯","布莱恩·辛格"
"可可西里","陆川"
"怪兽大学","丹·斯坎伦"
"逃离德黑兰","本·阿弗莱克"
"爱在暹罗","楚克‧萨克瑞科"
"赛德克·巴莱","魏德圣"
"勇士","加文·欧康诺"
"我的野蛮女友","郭在容"
"里约大冒险","卡洛斯·沙尔丹哈"
"开心家族","金英卓"
"社交网络","大卫·芬奇"
"遗愿清单","罗伯·莱纳"
"刺猬的优雅","莫娜·阿查切"
"偷拐抢骗","盖·里奇"
"地球上的星星","阿米尔·汗 "
"地球上的星星"," 阿莫尔·古普特"
"荒岛余生","罗伯特·泽米吉斯"
"勇闯夺命岛","迈克尔·贝"
"叫我第一名","彼得·沃纳"
"夜访吸血鬼","尼尔·乔丹"
"血钻","爱德华·兹威克"
"中国合伙人","陈可辛"
"金陵十三钗","张艺谋"
"惊魂记","阿尔弗雷德·希区柯克"
"桃姐","许鞍华"
"地心引力","阿方索·卡隆"
"听说","郑芬芬"
"雨中曲","斯坦利·多南 "
"雨中曲"," 吉恩·凯利"
"阿黛尔的生活","阿布戴·柯西胥"
"无间道2","刘伟强 "
"无间道2"," 麦兆辉"
"穿普拉达的女王","大卫·弗兰科尔"
"末路狂花","雷德利·斯科特"
"功夫熊猫2","余仁英"
"X战警：第一战","马修·沃恩"
"绿里奇迹","弗兰克·德拉邦特"
"登堂入室","弗朗索瓦·欧容"
"金福南杀人事件始末","张哲洙"
"东邪西毒：终极版","王家卫"
"上帝也疯狂","加美·尤伊斯"
"卡萨布兰卡","迈克尔·柯蒂斯"
"碧海蓝天","吕克·贝松"
"暖暖内含光","米歇尔·冈瑞"
"枪火","杜琪峰"
"孤儿","佐米·希尔拉"
"2001太空漫游","斯坦利·库布里克"
"第九区","尼尔·布洛姆坎普"
"风声","陈国富 "
"风声"," 高群书"
"牯岭街少年杀人事件","杨德昌"
"钢的琴","张猛"
"人再囧途之泰囧","徐峥"
"麦兜故事","袁建滔"
"黄金三镖客","赛尔乔·莱翁内"
"城市之光","查理·卓别林"
"色，戒","李安"
"飓风营救","皮埃尔·莫瑞尔"
"我爱你","秋昌民"
"黑客帝国2：重装上阵","安迪·沃卓斯基 "
"黑客帝国2：重装上阵"," 拉娜·沃卓斯基"
"不一样的天空","莱塞·霍尔斯道姆"
"廊桥遗梦","克林特·伊斯特伍德"
"一天","罗勒·莎菲"
"老男孩","朴赞郁"
"了不起的盖茨比","巴兹·鲁赫曼"
"九品芝麻官","王晶"
"变形金刚","迈克尔·贝"
"一代宗师","王家卫"
"导盲犬小Q","崔洋一"
"巴黎淘气帮","劳伦·泰拉德"
"龙纹身的女孩","大卫·芬奇"
"僵尸新娘","蒂姆·波顿 "
"僵尸新娘"," Mike Johnson"
"杀死比尔","昆汀·塔伦蒂诺"
"坠入","塔西姆·辛"
"蝴蝶","费利普·弥勒"
"猩球崛起","鲁伯特·瓦耶特"
"哪吒闹海","严定宪 "
"哪吒闹海"," 王树忱 "
"哪吒闹海"," 徐景达"
"神探","杜琪峰 "
"神探"," 韦家辉"
"横道世之介","冲田修一"
"伴我同行","罗伯·莱纳"
"我在伊朗长大","文森特·帕兰德 "
"我在伊朗长大"," 玛嘉·莎塔琵"
"百万美元宝贝","克林特·伊斯特伍德"
"追击者","罗宏镇"
"千年女优","今敏"
"燕尾蝶","岩井俊二"
"黑鹰坠落","雷德利·斯科特"
"铁甲钢拳","肖恩·利维"
"午夜巴黎","伍迪·艾伦"
"海底总动员","安德鲁·斯坦顿 "
"海底总动员"," 李·昂克里奇"
"嫌疑人X的献身","西谷弘"
"盗钥匙的方法","内田贤治"
"阳光小美女","乔纳森·戴顿 "
"阳光小美女"," 维莱莉·法瑞斯"
"北京遇上西雅图","薛晓路"
"他其实没那么喜欢你","肯·卡皮斯"
"万箭穿心","王竞"
"悲情城市","侯孝贤"
"加勒比海盗2：聚魂棺","戈尔·维宾斯基"
"碟中谍","布莱恩·德·帕尔玛"
"环太平洋","吉尔莫·德尔·托罗"
"黑暗面","安德雷斯·拜兹"
"了不起的狐狸爸爸","韦斯·安德森"
"角斗士","雷德利·斯科特"
"洛城机密","柯蒂斯·汉森"
"狗镇","拉斯·冯·提尔"
"爱·回家","李廷香"
"蝙蝠侠：侠影之谜","克里斯托弗·诺兰"
"八月迷情","科斯汀·谢里丹"
"中央车站","沃尔特·塞勒斯"
"悬崖上的金鱼姬","宫崎骏"
"国产凌凌漆","李力持 "
"国产凌凌漆"," 周星驰"
"灿烂人生","马可·图利欧·吉欧达纳"
"哈利·波特与密室","克里斯·哥伦布"
"惊天魔盗团","路易斯·莱特里尔"
"黄海","罗宏镇"
"赛德克·巴莱(上)：太阳旗","魏德圣"
"功夫熊猫","马克·奥斯本 "
"功夫熊猫"," 约翰·斯蒂文森"
"新世界","朴勋政"
"大独裁者","查理·卓别林"
"一级恐惧","格里高利·霍布里特"
"最佳出价","朱塞佩·托纳多雷"
"星际迷航：暗黑无界","J·J·艾布拉姆斯"
"盲井","李杨"
"罗拉快跑","汤姆·提克威"
"跳出我天地","史蒂芬·戴德利"
"后天","罗兰·艾默里奇"
"弱点","约翰·李·汉考克"
"2012","罗兰·艾默里奇"
"出租车司机","马丁·斯科塞斯"
"成为简·奥斯汀","朱里安·杰拉德"
"壁花少年","斯蒂芬·切波斯基"
"暗战","杜琪峰"
"美食总动员","布拉德·伯德 "
"美食总动员"," 简·皮克瓦"
"雏菊","刘伟强"
"功夫","周星驰"
"无姓之人","雅克·范·多梅尔"
"步履不停","是枝裕和"
"万能钥匙","伊恩·索夫特雷"
"东京教父","今敏"
"终结者","詹姆斯·卡梅隆"
"小鬼当家","克里斯·哥伦布"
"失恋33天","滕华涛"
"马达加斯加3","康拉德·弗农 "
"马达加斯加3"," 埃里克·达尼尔 "
"马达加斯加3"," 汤姆·麦格拉思"
"钢铁侠","乔恩·费儒"
"心慌方","文森佐·纳塔利"
"换子疑云","克林特·伊斯特伍德"
"甲方乙方","冯小刚"
"蒂凡尼的早餐","布莱克·爱德华兹"
"时时刻刻","史蒂芬·戴德利"
"落水狗","昆汀·塔伦蒂诺"
"攻壳机动队","押井守"
"狼的孩子雨和雪","细田守"
"胭脂扣","关锦鹏"
"生活多美好","弗兰克·卡普拉"
"冰川时代4","麦克·特米尔 "
"冰川时代4"," 史蒂夫·马蒂诺"
"小岛惊魂","亚历杭德罗·阿梅纳瓦尔"
"花与爱丽丝","岩井俊二"
"十二猴子","特瑞·吉列姆"
"逆光飞翔","张荣吉"
"土拨鼠之日","哈罗德·雷米斯"
"我是传奇","弗朗西斯·劳伦斯"
"恋恋风尘","侯孝贤"
"战马","史蒂文·斯皮尔伯格"
"诺丁山","罗杰·米歇尔"
"疯狂约会美丽都","西维亚·乔迈"
"K星异客","Iain Softley"
"赛德克·巴莱(下)：彩虹桥","魏德圣"
"哈利·波特与阿兹卡班的囚徒","阿方索·卡隆"
"玩具总动员","约翰·拉塞特"
"春夏秋冬又一春","金基德"
"查理和巧克力工厂","蒂姆·波顿"
"侏罗纪公园","史蒂文·斯皮尔伯格"
"莫扎特传","米洛斯·福尔曼"
"魔发奇缘","内森·格雷诺 "
"魔发奇缘"," 拜伦·霍华德"
"那山那人那狗","霍建起"
"为奴十二载","史蒂夫·麦奎因"
"加勒比海盗3：世界的尽头","戈尔·维宾斯基"
"兵临城下","让-雅克·阿诺"
"相助","泰特·泰勒"
"黑衣人","巴里·索南菲尔德"
"朱诺","贾森·雷特曼"
"西雅图未眠夜","诺拉·艾芙隆"
"初恋50次","彼得·西格尔"
"我们俩","马俪文"
"人鬼情未了","杰瑞·扎克"
"童年往事","侯孝贤"
"编舟记","石井裕也"
"迷雾","弗兰克·德拉邦特"
"沉静如海","皮埃尔·布特龙"
"速度与激情6","林诣彬"
"起风了","宫崎骏"
"再见列宁","沃尔夫冈·贝克"
"隐秘而伟大","张哲洙"
"与狼共舞","凯文·科斯特纳"
"乌云背后的幸福线","大卫·O·拉塞尔"
"孤胆特工","李桢凡"
"精英部队2：大敌当前","若泽·帕迪里亚"
"红猪","宫崎骏"
"天书奇谭","王树忱 "
"天书奇谭"," 钱运达"
"笑傲江湖2：东方不败","程小东"
"红高粱","张艺谋"
"冰川时代3","卡洛斯·沙尔丹哈 "
"冰川时代3"," 麦克·特米尔"
"激战","林超贤"
"热血警探","埃德加·赖特"
"闪灵","斯坦利·库布里克"
"独自等待","伍仕贤"
"爱","迈克尔·哈内克"
"钢铁侠3","沙恩·布莱克"
"李米的猜想","曹保平"
"回到未来","罗伯特·泽米吉斯"
"推手","李安"
"卧虎藏龙","李安"
"月升王国","韦斯·安德森"
"费城故事","乔纳森·戴米"
"哈利·波特与火焰杯","迈克·内威尔"
"内布拉斯加","亚历山大·佩恩"
"麦兜当当伴我心","谢立文"
"食神","李力持 "
"食神"," 周星驰"
"你丫闭嘴！","法兰西斯·威柏"
"狙击电话亭","乔·舒马赫"
"赎罪","乔·赖特"
"单身男子","汤姆·福特"
"大红灯笼高高挂","张艺谋"
"超时空接触","罗伯特·泽米吉斯"
"和声","康大奎"
"空中监狱","西蒙·韦斯特"
"人在囧途","叶伟民"
"蓝色茉莉","伍迪·艾伦"
"冰川时代2：融冰之灾","卡洛斯·沙尔丹哈"
"史密斯夫妇","道格·里曼"
"王牌对王牌","F·加里·格雷"
"追风筝的人","马克·福斯特"
"西游降魔篇","周星驰 "
"西游降魔篇"," 郭子健"
"后窗","阿尔弗雷德·希区柯克"
"南极料理人","冲田修一"
"非常主播","姜炯哲"
"美国X档案","托尼·凯耶"
"老无所依","伊桑·科恩 "
"老无所依"," 乔尔·科恩"
"四百击","弗朗索瓦·特吕弗"
"魔术师","西维亚·乔迈"
"我脑中的橡皮擦","李宰汉"
"岁月的童话","高畑勋"
"无人知晓","是枝裕和"
"当哈利遇到莎莉","罗伯·莱纳"
"天生一对","南希·迈耶斯"
"洞","雅克·贝克"
"艺术家","迈克尔·哈扎纳维希乌斯"
"买凶拍人","彭浩翔"
"盲山","李杨"
"凯尔经的秘密","汤姆·摩尔 "
"凯尔经的秘密"," Nora Twomey"
"宿醉","托德·菲利普斯"
"蓝白红三部曲之红","克日什托夫·基耶斯洛夫斯基"
"布达佩斯之恋","诺夫·舒贝尔"
"不能说的秘密","周杰伦"
"风雨哈佛路","Peter Levin"
"独立日","罗兰·艾默里奇"
"哈利·波特与死亡圣器(上)","大卫·叶茨"
"无间道3：终极无间","刘伟强 "
"无间道3：终极无间"," 麦兆辉"
"时间旅行者的妻子","罗伯特·斯文克"
"我，机器人","亚历克斯·普罗亚斯"
"共同警备区","朴赞郁"
"芙蓉镇","谢晋"
"杀手没有假期","马丁·麦克唐纳"
"春娇与志明","彭浩翔"
"阿郎的故事","杜琪峰"
"结婚礼服","权炯辰"
"汉尼拔","雷德利·斯科特"
"天才瑞普利","安东尼·明格拉"
"金色梦乡","中村义洋"
"黑洞频率","格里高利·霍布里特"
"火柴人","雷德利·斯科特"
"机器管家","克里斯·哥伦布"
"雪国列车","奉俊昊"
"127小时","丹尼·博伊尔"
"面纱","约翰·卡兰"
"鹿鼎记","王晶"
"沙漠之花","Sherry Horman"
"天伦之旅","柯克·琼斯"
"蓝白红三部曲之蓝","克日什托夫·基耶斯洛夫斯基"
"公民凯恩","奥逊·威尔斯"
"银河系漫游指南","加斯·詹宁斯"
"变形金刚2","迈克尔·贝"
"杀死比尔2","昆汀·塔伦蒂诺"
"空房间","金基德"
"疯狂的赛车","宁浩"
"最好的时光","侯孝贤"
"精灵旅社","格恩迪·塔塔科夫斯基"
"大内密探零零发","谷德昭 "
"大内密探零零发"," 周星驰"
"偷自行车的人","维托里奥·德·西卡"
"午夜巴塞罗那","伍迪·艾伦"
"异次元骇客","约瑟夫·鲁斯纳克"
"她比烟花寂寞","安南德·图克尔"
"艋舺","钮承泽"
"星球大战","乔治·卢卡斯"
"寒战","梁乐民 "
"寒战"," 陆剑青"
"河童之夏","原惠一"
"偶滴神啊","Umesh Shukla"
"奇爱博士","斯坦利·库布里克"
"好家伙","马丁·斯科塞斯"
"情人","让-雅克·阿诺"
"布达佩斯大饭店","韦斯·安德森"
"亲爱的","陈可辛"
"冰雪奇缘","克里斯·巴克 "
"冰雪奇缘"," 珍妮弗·李"
"明日边缘","道格·里曼"
"彗星来的那一夜","詹姆斯·沃德·布柯特"
"无人区","宁浩"
"她","斯派克·琼斯"
"X战警：逆转未来","布莱恩·辛格"
"辩护人","杨宇硕"
"少年时代","理查德·林克莱特"
"素媛","李濬益"
"夜行者","丹·吉尔罗伊"
"霍比特人2：史矛革之战","彼得·杰克逊"
"白日梦想家","本·斯蒂勒"
"奇怪的她","黄东赫"
"哪啊哪啊神去村","矢口史靖"
"少年斯派维的奇异旅行","让-皮埃尔·热内"
"菲利普船长","保罗·格林格拉斯"
"极速风流","朗·霍华德"
"如父如子","是枝裕和"
"真实的谎言","詹姆斯·卡梅隆"
"暴力街区","皮埃尔·莫瑞尔"
"赛末点","伍迪·艾伦"
"四月物语","岩井俊二"
"平常的心","瑞恩·墨菲"
"附注：我爱你","理查德·拉·格拉文斯"
"妈咪","泽维尔·多兰"
"银翼杀手","雷德利·斯科特"
"普罗旺斯的夏天","罗丝·博斯"
"天生杀人狂","奥利佛·斯通"
"转山","杜家毅"
"七磅","加布里尔·穆奇诺"
"点球成金","贝尼特·米勒"
"星球大战前传1：幽灵的威胁","乔治·卢卡斯"
"谜一样的双眼","胡安·何塞·坎帕内利亚"
"海鸥食堂","荻上直子"
"回家的路","方银振"
"美女与野兽","加里·特洛斯达勒 "
"美女与野兽"," 柯克·维斯"
"未知死亡","A.R. Murugadoss"
"盗火线","迈克尔·曼"
"星球大战前传3：西斯的复仇","乔治·卢卡斯"
"全金属外壳","斯坦利·库布里克"
"背靠背，脸对脸","黄建新 "
"背靠背，脸对脸"," 杨亚洲"
"星球大战2：帝国反击战","厄文·克什纳"
"大地惊雷","乔尔·科恩 "
"大地惊雷"," 伊桑·科恩"
"母亲","奉俊昊"
"芝加哥","罗伯·马歇尔"
"给桃子的信","冲浦启之"
"心动","张艾嘉"
"现代启示录","弗朗西斯·福特·科波拉"
"天水围的日与夜","许鞍华"
"花魁","蜷川实花"
"我杀了我妈妈","泽维尔·多兰"
"茜茜公主","恩斯特·马利斯卡"
"英雄本色2","吴宇森"
"魔鬼代言人","泰勒·海克福德"
"启示","梅尔·吉布森"
"太极旗飘扬","姜帝圭"
"穿裘皮的维纳斯","罗曼·波兰斯基"
"安妮·霍尔","伍迪·艾伦"
"理智与情感","李安"
"杀戮","罗曼·波兰斯基"
"钢琴课","简·坎皮恩"
"初吻","克劳德·比诺多"
"天国王朝","雷德利·斯科特"
"金氏漂流记","李海准"
"精武英雄","陈嘉上"
"如月疑云","佐藤祐市"
"人生","泰德·戴米"
"童年过后一百天","谢尔盖·索洛维约夫"
"有梦就去闯","Brad Isaacs"
"和谐课程","埃米尔·拜加津"
"天堂的孩子","马塞尔·卡尔内"
"大地之歌","萨蒂亚吉特·雷伊"
"野花","F.A.布拉贝克"
"无言的山丘","王童"
"何时是读书天","绪方明"
"安全至下","Fred C. Newmeyer "
"安全至下"," 山姆·泰勒"
"迎春阁之风波","胡金铨"
"一诺千金","让-皮埃尔·达内 "
"一诺千金"," 吕克·达内"
"东京暮色","小津安二郎"
"七次机会","巴斯特·基顿"
"停靠","Darragh Byrne"
"海的沉默","让-皮埃尔·梅尔维尔"
"阿曼尼亚：欢迎来到德国","Yasemin Samdereli"
"儿子","山田洋次"
"爱丽丝城市漫游记","维姆·文德斯 Wim Wenders"
"似水流年","严浩"
"我是古巴","米哈依尔·卡拉托佐夫"
"五岁时，我杀了我自己","Jean-Claude Sussfeld"
"秘密与谎言","迈克·李"
"五月碧云天","努里·比格·锡兰"
"同流者","贝纳尔多·贝托鲁奇"
"爵士春秋","鲍勃·福斯"
"死亡的游戏","John Little"
"死亡之夜","Alberto Cavalcanti "
"死亡之夜"," 巴兹尔·迪尔登 "
"死亡之夜"," 查尔斯·克瑞奇顿 "
"死亡之夜"," 罗伯特·哈默"
"公路之王","维姆·文德斯"
"最后一场电影","彼得·博格丹诺维奇"
"他人之子","让-皮埃尔·达内 "
"他人之子"," 吕克·达内"
"变种外星人","比尔·普莱姆顿"
"兰闺惊变","罗伯特·奥尔德里奇"
"亚特兰大号","让·维果"
"孟菲斯美女号","迈克尔·卡顿-琼斯"
"饭","成濑巳喜男"
"乱云","成濑巳喜男"
"割草叔叔","约翰·杜根"
"董夫人","唐书璇"
"稻草人","王童"
"现实之舞","亚历桑德罗·佐杜洛夫斯基"
"战地军魂","比利·怀德"
"12个温柔的日本人","中原俊"
"大人别出声","彼得·博格丹诺维奇"
"世界旦夕之间","赖纳·维尔纳·法斯宾德"
"男人的争斗","朱尔斯·达辛"
"推销员之死","沃尔克·施隆多夫"
"火柴厂女工","阿基·考里斯马基"
"通往自由的通道","罗兰·苏素·里希特"
"巴黎圣母院","Gilles Maheu"
"快乐的结局","奥德里奇·利普斯基"
"二维世界","Ladd Ehlinger Jr."
"里斯本的故事","维姆·文德斯"
"假如我是真的","王童"
"生生长流","阿巴斯·基亚罗斯塔米"
"冷酷祭典","克劳德·夏布洛尔"
"甜蜜的永远","扬·霍布雷克"
"浮士德","F·W·茂瑙"
"静谧的生活","苏赫拉布·沙希德·萨利斯"
"德尔苏·乌扎拉","黑泽明"
"罪与错","伍迪·艾伦"
"不可思议的收缩人","杰克·阿诺德"
"舞台春秋","查理·卓别林"
"第七大陆","迈克尔·哈内克"
"周末","让-吕克·戈达尔"
"死期将至","多罗塔·肯杰尔扎沃斯卡"
"阳光情人","伊斯特凡·萨博"
"叛国作家","Radha Bharadwaj"
"风的第一声呼吸","弗兰科·皮亚维奥利"
"血染雪山堡","布莱恩·G·赫顿"
"伸张正义","诺曼·杰威森"
"黑神驹","卡罗尔·巴拉德"
"野火","市川昆"
"战争子午线","冯小宁"
"阿尔卡特兹的养鸟人","约翰·弗兰克海默"
"自己去看","依莱姆·克里莫夫"
"特写","阿巴斯·基亚罗斯塔米"
"男性，女性","让-吕克·戈达尔"
"福禄双霸天","约翰·兰迪斯"
"圣·拉尔夫","Michael McGowan"
"人间的条件（第一、二部）","小林正树"
"黑潮","斯派克·李"
"血色清晨","李少红"
"其后","森田芳光"
"梦魇疯人院","杨·史云梅耶"
"叛逆边缘","约翰·卡尼"
"香蕉天堂","王童"
"亚当的苹果","安诺斯·托马斯·延森"
"焦点新闻","科斯塔-加夫拉斯"
"古宅迷踪","汤姆·沃恩"
"山丘之王","史蒂文·索德伯格"
"浮生狂想曲","维特·荷默"
"枪声俱乐部","Steven Silver"
"将爱放逐","安德烈·萨金塞夫"
"红柿子","王童"
"骗子","费德里科·费里尼"
"女人韵事","克劳德·夏布洛尔"
"冰海沉船","罗伊·沃德·贝克"
"亲情无价","卡尔·弗兰克林"
"纸月亮","彼得·博格丹诺维奇"
"过客","米开朗基罗·安东尼奥尼"
"那天妈妈来看我","郭春晖"
"泥之河","小栗康平"
"再见箱舟","寺山修司"
"山樱","筱原哲雄"
"抛掉书本上街去","寺山修司"
"黑骏马","卡罗琳 汤普森 (Caroline Thompson (I))"
"赤胆屠龙","霍华德·霍克斯"
"候鸟","多罗塔·肯杰尔扎沃斯卡"
"审判","奥逊·威尔斯"
"卡米诺","哈维尔·费舍尔"
"烟","王颖 "
"烟"," 保罗·奥斯特"
"皮娜·鲍什：穆勒咖啡馆","皮娜·鲍什"
"双姝奇缘","埃里克·侯麦"
"人生","吴天明"
"倾国倾城","李翰祥"
"桥","Bernhard Wicki"
"找乐","宁瀛"
"纳什维尔","罗伯特·奥特曼"
"当风吹起的时候","吉米·村上"
"布拉格狂想曲","托马斯·沃瑞"
"极度狂热","David Evans"
"特殊的友情","让·德拉努瓦"
"马太福音","皮埃尔·保罗·帕索里尼"
"让娜·迪尔曼","香特尔·阿克曼"
"爱德华·蒙克","彼得·沃特金"
"春风不化雨","罗纳德·尼姆"
"满城风雨","比利·怀德"
"潘多拉的魔盒","乔治·威廉·巴布斯特"
"天使的孩子","艾伦·帕克"
"父亲在世时","小津安二郎"
"与春同行","小林政广"
"弦动我心","韦斯·克雷文"
"大河之歌","萨蒂亚吉特·雷伊"
"春天情书","森田芳光"
"人·鬼·情","黄蜀芹"
"丑八怪","罗兰·贝科夫"
"疤面人","霍华德·霍克斯 "
"疤面人"," 理查德·罗森"
"天堂里的烦恼","恩斯特·刘别谦"
"柏林谍影","马丁·里特"
"首演之夜","约翰·卡索维茨"
"炼狱","亚历山大·涅夫佐罗夫"
"无法避免的战争","Prakash Jha "
"无法避免的战争"," 帕卡沙·加"
"洛可兄弟","卢奇诺·维斯康蒂"
"春天的杜鹃","亚历山大·罗戈日金"
"大树之歌","萨蒂亚吉特·雷伊"
"猎艳狂魔","罗伯托·贝尼尼"
"罗马风情画","费德里科·费里尼"
"谁来为我摘月亮","巴克迪亚·库唐纳扎洛夫"
"芳心他属","普皮·阿瓦蒂"
"浮云世事","阿基·考里斯马基"
"让风带着我起飞","Mohammad-Ali Talebi"
"灵犬莱西","弗雷德·威尔科克斯"
"蒲田进行曲","深作欣二"
"早春","小津安二郎"
"山椒大夫","沟口健二"
"猫和老鼠：魔法戒指","James T. Walker"
"一路上有你","马克·斯蒂文·约翰逊"
"雾都孤儿","卡罗尔·里德"
"合约谋杀案","欧文·勒纳"
"演员工作室：柯林·菲尔斯","Jeff Wurtz"
"我是大卫","保罗·费格"
"哀乐中年","桑弧"
"心荡神驰","托尼·比尔"
"人鱼童话","西蒙·温瑟"
"待客之道","John G. Blystone "
"待客之道"," 巴斯特·基顿"
"编织的女孩","克洛德·果雷塔"
"危机最前线","科斯塔-加夫拉斯"
"完美对垒","朴熙坤"
"情书","Dan Curtis (I)"
"审问","赖斯扎德·布加斯基"
"飞狗巴迪","查尔斯·马丁·史密斯"
"四海本色","朱尔斯·达辛"
"黑帮大佬和平梦","Rajkumar Hirani"
"近松物语","沟口健二"
"关于伊丽","阿斯哈·法哈蒂"
"漩涡之外","雅克·特纳"
"三个臭皮匠","James Frawley"
"航向热带岛屿的冰山","达格·卡利"
"史楚锡流浪记","沃纳·赫尔佐格"
"受影响的女人","约翰·卡索维茨"
"砂制时镜下的疗养院","沃伊齐希·哈斯"
"跨跃彩虹","安振宇"
"笔中情","颜碧丽"
"小街","杨延晋"
"河狸白毛历险记","菲利普·考尔德隆"
"小小的叛国者","Lynn Roth"
"女友的男友","埃里克·侯麦"
"伯爵夫人的耳环","马克斯·奥菲尔斯"
"欧洲特快车","拉斯·冯·提尔"
"寻爱之旅","戴米恩·奥唐纳"
"词语","卡尔·西奥多·德莱叶"
"巧舌如父","让-克里斯托夫·罗歇"
"四季商人","赖纳·维尔纳·法斯宾德"
"忠烈图","胡金铨"
"莉","Ivan Fíla"
"幸存的生命（理论与实践）","杨·史云梅耶"
