title,director
"性本恶","保罗·托马斯·安德森"
"有种你爱我","李欣蔓"
"浪客剑心：传说的完结篇","大友启史"
"玩命警车","乔恩·沃茨"
"丹尼·科林斯","丹·福格尔曼"
"涉外大饭店2","约翰·麦登"
"高手们","金洪宣"
"不死鸟","克利斯蒂安·佩措尔德"
"马达加斯加的企鹅","埃里克·达尼尔 "
"马达加斯加的企鹅"," 西蒙·J·史密斯"
"乐高DC超级英雄：正义联盟之末日军团的进攻","Rick Morales"
"鞋匠人生","托马斯·麦卡锡"
"人体蜈蚣3","汤姆·希克斯"
"朝我心脏开枪","文在容"
"12金鸭","邹凯光"
"哥本哈根","Mark Raso"
"年鉴计划","Dean Israelite"
"女孩闺房","乔恩·克劳兹 "
"女孩闺房"," Trevor Matthews"
"寄生兽：完结篇","山崎贵"
"撒娇女人最好命","彭浩翔"
"娚的一生","广木隆一"
"疾速追杀","大卫·里奇 "
"疾速追杀"," 查德·史塔赫斯基"
"阁楼","艾瑞克·范·洛依"
"正义联盟：神魔之战","Sam Liu"
"白幽灵传奇之绝命逃亡","尼克·鲍威尔"
"女狙击手","Sergeiy Mokritskiy"
"封门诡影","王孟圆"
"恋爱的味道","金亚伦"
"全力扣杀","郭子健 "
"全力扣杀"," 黄智亨"
"死亡录像4：启示录","豪梅·巴拿盖鲁"
"沼泽地","阿尔伯特·罗德里格斯"
"深夜前的五分钟","行定勋"
"极秘搜查","郭暻泽"
"隐秘的诱惑","尹宰久"
"魁拔Ⅲ战神崛起","王川 "
"魁拔Ⅲ战神崛起"," 张钢 "
"魁拔Ⅲ战神崛起"," 周洁"
"偷狗的完美方法","金成浩"
"别惹德州","安妮·弗莱彻"
"一万年以后","易立"
"一路惊喜","金依萌 "
"一路惊喜"," 潘安子 "
"一路惊喜"," 章家瑞 "
"一路惊喜"," 宋迪"
"我的早更女友","郭在容"
"露水红颜","高希希"
"京城学校：消失的少女们","李海暎"
"福福庄的阿福","藤田容介"
"年轻母亲3：我年纪如何","Kim Il-jong (김일종)"
"恋爱排班表","丁乃筝"
"定制伴郎","杰里米·加尔利"
"男人不可以穷","钟澍佳"
"熊出没之雪岭熊风","丁亮 "
"熊出没之雪岭熊风"," 刘富源"
"至暴之年","J·C·尚多尔"
"狱前教育","伊坦·柯亨"
"不能说的夏天","王维明"
"举报者","林顺礼"
"名侦探柯南：江户川柯南失踪事件～史上最惨的两天～","山本泰一郎"
"延坪海战","金焕松"
"骇客交锋","迈克尔·曼"
"去见瀑布","冲田修一"
"小野寺姐弟","西田征史"
"垃圾男孩","史蒂芬·戴德利"
"脑浆炸裂少女","アベユーイチ"
"一个人的武林","陈德森"
"黄飞鸿之英雄有梦","周显扬"
"单身男女2","杜琪峰"
"勃艮第公爵","彼得·斯崔克兰德"
"X射线营地","彼得·萨特勒"
"恶魔","Will Canon"
"奔跑者","奥斯汀·史塔克"
"安娜贝尔","约翰·R·莱昂耐迪"
"速度超越激情","贾森·弗莱德伯格 "
"速度超越激情"," 亚伦·赛尔策"
"机动战士高达 THE ORIGIN I 青瞳的卡斯巴尔","安彦良和 "
"机动战士高达 THE ORIGIN I 青瞳的卡斯巴尔"," 今西隆志"
"恶老板2","希恩·安德鲁斯"
"德古拉元年","盖瑞·肖"
"黎明的沙耶","深川栄洋"
"阿呆与阿瓜2","鲍比·法拉利 "
"阿呆与阿瓜2"," 彼得·法拉利"
"占水师","罗素·克劳"
"平行宇宙","Christopher Leone"
"罪恶的编年史","白云学"
"永远十六岁","琳·谢尔顿"
"青春誓约","James Kent"
"机器纪元","加贝·伊班内兹"
"第28年的甲子园","大森寿美男"
"赛琳娜","苏珊娜·比尔"
"不速之客","亚当·温加德"
"最好的我","迈克尔·霍夫曼"
"安妮：纽约奇缘","威尔·古勒"
"人艰不拆","瑞卡多·米拉尼"
"我的爱我的新娘","林赞相"
"我很好，谢谢，我爱你","梅兹·塔拉"
"大象之歌","Charles Binamé"
"痞子英雄2：黎明升起","蔡岳勋"
"小叮当：永无兽传奇","Steve Loter"
"10年计划","J.C. Calciano"
"鬼驱人","吉尔·克兰"
"无赖汉","吴胜旭"
"ST 红白的搜查档案","佐藤东弥"
"行过死荫之地","斯科特·弗兰克"
"灭绝：丧尸屠城","Miguel Ángel Vivas"
"仲夏夜魔法","嘉里·瑞德斯托姆"
"爸爸的假期","王岳伦"
"逆转胜","孔玟燕"
"今天的恋爱","朴珍杓"
"男人女人和孩子","贾森·雷特曼"
"丧家之女","亨利·霍伯森"
"触不可及","赵宝刚"
"丑女也有春天","Ari Sandel"
"鲁斯和亚历克斯","理查德·隆克瑞恩"
"摇滚英雄","谭华"
"尚衣院","李元硕"
"乐高DC超级英雄：正义联盟大战异魔联盟","Brandon Vietti"
"想爱就爱2.5","卡洛堤·奈金塔隆"
"四个月亮","Sergio Tovar Velarde"
"惊天绑架团","丹尼尔·阿尔弗雷森"
"石榴坡的复仇","若松节朗"
"如此美好","金炫锡"
"王牌","范建浍"
"僵尸来袭","Kiah Roache-Turner"
"喧嚣贵族","罗勒·莎菲"
"社交恐惧症","洪锡宰"
"神探驾到","黄百鸣 "
"神探驾到"," 邱礼涛"
"独自夜归的女孩","安娜·莉莉·阿米普尔"
"阴阳先生","张涛"
"小心许愿","伊丽莎白·艾伦"
"美丽谎言","菲利普·法拉特乌"
"致命弯道6：终极审判","Valeri Milev"
"温哥华的朝日","石井裕也"
"刺客学妹","凯尔·纽曼"
"纯真时代","安相勋"
"全能囧爸","董春泽"
"杀了我三次","科里夫·斯丹德斯"
"女生宿舍","梁婷"
"戴维克罗的恋爱和魔法","犬童一心"
"陌生之地","Kim Farrant"
"亚马逊萌猴奇遇记","蒂埃里·拉格贝尔"
"我们是兄弟","张镇"
"爱与慈悲","比尔·波拉德"
"东京婚约","Stefan Liberski"
"二龙湖浩哥之狂暴之路","张浩、王岩川"
"林荫大道","蒂托·蒙蒂尔"
"人狼游戏2：野兽阵营","熊坂出"
"蝙蝠侠无极限：怪兽来袭","Butch Lukic"
"后裔","肯尼·奥特加"
"柔浪","伊力·维伊德雷克"
"环城七十里","穆丹"
"无敌双环枪","Fabrice Du Welz"
"再见歌舞伎町","广木隆一"
"加班遇到鬼","Isara Nadee"
"法国缉毒风云","塞德里克·吉门内兹"
"真爱","西尔扎提·亚合甫 "
"真爱"," 张欣"
"成人初学者","罗斯·卡兹"
"包法利夫人","Sophie Barthes"
"新包法利夫人","安妮·芳婷"
"有我在这里","吴维峰"
"丧尸围城：瞭望塔","Zach Lipovsky"
"爱，藏起来","Mikel Rueda"
"危楼愚夫","尤里·贝科夫"
"活埋前女友","乔·丹特"
"晚安妈咪","Severin Fiala "
"晚安妈咪"," 维罗妮卡·弗兰茨"
"御宅大冒险","小林啓一"
"X加Y","Morgan Matthews"
"不凡之路","格伦·威尔斯"
"人质","阿托姆·伊戈扬"
"杀手女教师","Karen Leigh Hopkins"
"艺术大师","小林圣太郎"
"亲子饭","David Au"
"猫和老鼠：间谍使命","Spike Brandt "
"猫和老鼠：间谍使命"," Tony Cervone"
"善意杀戮","安德鲁·尼科尔"
"妈咪侠","高志森"
"理发师","Basel Owies"
"金箍棒传奇2：沙僧的逆袭","哈磊"
"美的统治","丹尼斯·阿康特"
"庄稼之岛","乔治·奥瓦什威利"
"神在巴厘岛","李闘士男"
"生命如此美好","马赛·皮耶普莱兹卡"
"情事","Kim Jeong-hwan"
"聋哑部落","米洛斯拉夫·史拉波斯维兹奇"
"重拾人生","杰姆·耶尔马兹"
"东京难民","佐佐部清"
"百货战警2","安迪·菲克曼"
"曼戈霍恩","大卫·戈登·格林"
"西游记之大圣归来","田晓鹏"
"日日摇滚","入江悠"
"花葬","林权泽"
"宝藏猎人久美子","大卫·泽尔纳"
"使命召唤","皮埃尔·莫瑞尔"
"灯光之外","吉娜·普林斯-拜斯伍德"
"危险的见面礼2","金镇英"
"小黄人大眼萌","凯尔·巴尔达 "
"小黄人大眼萌"," 皮艾尔·柯芬"
"我的男友和狗","陈慧翎"
"陡岸凶杀案","马特·沙克曼"
"中国城","Han Jun-hee"
"第二次爱你","爱迪生"
"你爱的某人","佩妮莱·费舍尔·克里斯藤森"
"枪长莫及","让-巴普蒂斯特·莱昂内蒂"
"希波克拉底","Thomas Lilti"
"地狱奶奶","申汉率"
"终结者：创世纪","阿兰·泰勒"
"年轻时候","诺亚·鲍姆巴赫"
"卡贾基","Paul Katis"
"把爸爸借给你","Kim Deok-Soo"
"蝙蝠侠无极限：动物本能","Butch Lukic"
"点对点","黄浩然"
"拼凑梦想","肖恩·麦克纳马拉"
"仅此一夜","金赵光寿 "
"仅此一夜"," 金泰勇"
"恋恋如歌","理查德·拉·格拉文斯"
"幸存者","詹姆斯·麦克特格"
"商务囧途","肯·斯科特"
"远离人迹","大卫·奥霍芬"
"起死回生","大卫·贾柏"
"编剧情缘","马克·劳伦斯"
"野狗们","Ha Won-joon"
"杀人依赖","孙勇浩"
"欢迎来到我的世界","Shira Piven"
"旧情","平川雄一朗"
"只想和你在一起","瑞纳·考夫曼"
"蜩之记","小泉尧史"
"不是冤家不聚头","大卫·韦恩"
"宝贝","尼拉基·潘迪"
"我的神烦腐妈","Salomé Breziner"
"朝鲜名侦探：奴隶的女儿","金锡允"
"阿斯特里克斯历险记：诸神之宫殿","亚历山德拉·阿斯提耶尔"
"在我走之前","柯特妮·考克斯"
"真实","昆汀·杜飞"
"诉讼","罗内特·艾尔卡贝兹 "
"诉讼"," 施洛米·艾尔卡贝兹"
"暧昧不明关系研究学会","麦曦茵"
"世纪审判","保罗·安德鲁·威廉姆斯"
"幸运情人草","古澤健"
"白色上帝","凯内尔·穆德卢佐"
"人皮交易","Ekachai Uekrongtham"
"立体声","Maximilian Erlenwein"
"爱情碎片","Justin Reardon"
"温暖渐冻心","乔治·乌尔夫"
"感受大海的时刻","安藤寻"
"想飞","李岗 "
"想飞"," 萧力修"
"天师斗僵尸","陈翊恒"
"不可思议的海岸物语","成島出"
"心脏移植医师","Lukasz Palkowski"
"伪造者","菲利普·马丁"
"失魂记忆","Adam Robitel"
"侠僧探案传奇之将军府","海涛"
"侠僧探案传奇之催命符","海涛"
"侠僧探案传奇之开封府","海涛"
"苹果恋爱多","Monika Mitchell"
"葡萄的眼泪","三岛有纪子"
"公平竞赛","Andrea Sedlácková"
"侠僧探案传奇之醉玲珑","海涛"
"侠僧探案传奇之洛阳花会","海涛"
"解除好友","列万·加布里亚德兹"
"爱在初春惊变时","贾斯汀·本森 "
"爱在初春惊变时"," 艾伦·穆尔黑德"
"真英雄","武正晴"
"廷巴克图","阿伯德拉马纳·希萨柯"
"临时保姆","Philippe Lachaux "
"临时保姆"," Nicolas Benamou"
"德水里五兄弟","全炯俊"
"侠僧探案传奇之大兴赌坊","海涛"
"严惩","瑞恩·菲利普"
"男孩遇见女孩","Eric Schaeffer"
"回光奏鸣曲","钱翔"
"甜蜜地狱之家","安东尼·伯恩斯"
"海军陆战队员4","威廉·考夫曼"
"侠僧探案传奇之白马镖局","海涛"
"业内前五","克里斯·洛克"
"最后的骑士","纪里谷和明"
"迷河","瑞恩·高斯林"
"侠僧探案传奇之王陵之谜","海涛"
"太阳坐落之处","矢崎仁司"
"少年轻狂","KIM Jinmoo "
"少年轻狂"," PARK Gahee "
"少年轻狂"," JU Seongsu "
"少年轻狂"," JUNG Wonsik"
"侠僧探案传奇之大夜叉","海涛"
"寒枝雀静","罗伊·安德森"
"它在身后","大卫·罗伯特·米切尔"
"荒野","Adam MacDonald"
"爱情攻略","黄柏基"
"被舍弃的人们","榊英雄"
"时光穿梭","Bradley King"
"风暴之土","Ádám Császi"
"致命追踪","Daniel Benmayor"
"赌棍","鲁伯特·瓦耶特"
"上帝难为","阿列克谢·日尔曼"
"阿提克斯研究所","克里斯·斯帕林"
"野鸡杀手","Mikkel Nørgaard"
"追债大乱斗","乔·卡纳汉"
"遭难者们","卢营奭"
"吉米的舞厅","肯·洛奇"
"美好世界终结时","松居大悟"
"浴血华沙","扬·科马萨"
"惊情谍变","Siddharth Anand"
"河畔的朔子","深田晃司"
"失踪顺序","汉斯·皮特·莫郎"
"诺曼人：维京传奇","Claudio Fäh"
"海洋之歌","汤姆·摩尔"
"赤足","Andrew Fleming"
"黑手党只在夏天杀人","Pif"
"黑海夺金","凯文·麦克唐纳"
"生活伴侣","Susanna Fogel"
"行动代号：孙中山","易智言"
"大喜临门","黄朝亮"
"食女","三池崇史"
"伊朗式分手","戴思睿·阿卡万"
"克莉丝堤：杀人网站","Oliver Blackburn"
"迷失课后","天野千寻 "
"迷失课后"," 名倉愛 "
"迷失课后"," 大九明子"
"自由之丘","洪尚秀"
"骡子","Tony Mahony "
"骡子"," 安格斯·桑普森"
"低入尘埃","巴瑞·莱文森"
"艾尔莎与弗雷德","派翠西亚·里根"
"思春期游戏","倉本雷大"
"小森林 夏秋篇","森淳一"
"生活艰难也许快乐","堤幸彦 "
"生活艰难也许快乐"," 木村ひさし"
"基隆","乔梁"
"我的男人","熊切和嘉"
"老木逢春","戴维·黑尔"
"蜜月重温","罗杰·米歇尔"
"寻找幸福的赫克托","彼德·切尔瑟姆"
"大人不及格","饭塚健"
"热血男人帮","查慕春"
"荒蛮故事","达米安·斯兹弗隆"
"奇怪的猫咪","Ramon Zürcher"
"可爱老女人","伊斯雷尔·霍洛维茨"
"圣餐","缇·威斯特"
"热血之路","三木孝浩"
"鳄鱼的黄眼睛","Cécile Telerman"
"鲁邦三世","北村龙平"
"玫瑰香水","乔恩·斯图尔特"
"早熟","Dan Beers"
"海豚的故事2","查尔斯·马丁·史密斯"
"蛋糕","丹尼尔·巴尔兹"
"新年行动","法拉·可汗"
"隔壁的男孩","罗伯·科恩"
"迷失1971","扬·德芒热"
"澳门风云2","王晶 "
"澳门风云2"," 张敏"
"血色孤语","玛嘉·莎塔琵"
"我的独裁者","李海准"
"侠僧探案传奇之聚义钱庄","海涛"
"顶级较量","崔豪"
"恶梦小姐 梦影版","佐久間紀佳"
"狼图腾","让-雅克·阿诺"
"东京暴族","园子温"
"怒火保镖","西蒙·韦斯特"
"扑通扑通我的人生","李在容"
"单身派对","约翰·巴特勒"
"太平洋幽灵","Brian Falk"
"一曲倾情","凯特·巴克佛洛兰"
"共犯","张荣吉"
"杀死信使","迈克尔·科斯塔"
"背负春天","木村大作"
"卒迹","鲁坚"
"呼吸","梅拉尼·罗兰"
"杀回归家路","Emilis Velyvis"
"女儿国的杰基","Riad Sattouf"
"扑克之夜","Greg Francis"
"亚历山大和他最糟糕的一天","米盖尔·阿尔特塔"
"米斯特和皮特必败","小乔治·提尔曼"
"幕末高校生","李斗士男"
"在我消失前","肖恩·克里斯汀森"
"鸟瞰人生","帕斯卡尔·费兰"
"冰毒","赵德胤"
"利维坦","安德烈·萨金塞夫"
"游客","鲁本·奥斯特伦德"
"中间人2","Damon Beesley "
"中间人2"," Iain Morris"
"锡尔斯玛利亚","奥利维耶·阿萨亚斯"
"危险的传言","金光植"
"正义联盟：亚特兰蒂斯的宝座","伊桑·斯波尔丁"
"奇迹","爱丽丝·洛尔瓦彻"
"小乌龟是如何长大的","Dearbhla Walsh"
"金橘","萨萨·乌鲁沙泽"
"漫步夏威夷","前田弘二"
"万能鉴定士Q：蒙娜丽莎之瞳","佐藤信介"
"第二扇窗","河濑直美"
"被告护士","保·范·德·奥斯特"
"爱很怪","艾拉·萨克斯"
"足不出户","Gerard Johnstone"
"危险行为","萨姆·米勒"
"狙击精英：战纪","唐·迈克尔·保罗"
"近距离击杀","孙铁"
"冷库","迈克尔·塞洛蒙"
"女子战队","福田雄一"
"狐狸猎手","贝尼特·米勒"
"意大利之旅","迈克尔·温特伯顿"
"枪之子","朱利叶斯·艾弗里"
"杀妻同盟军","斯考特·佛雷"
"他和她的孤独情事","内德·本森"
"一千次晚安","埃里克·普派"
"骄傲","马修·沃楚斯"
"危险藏匿","迈克·诺斯卡"
"透纳先生","迈克·李"
"晴天霹雳","剧团一人"
"长牙","凯文·史密斯"
"吸血鬼生活","杰梅奈·克莱门特 "
"吸血鬼生活"," 泰卡·怀蒂蒂"
"幽暗山谷","Andreas Prochaska"
"边境","Michael Berry"
"圣人文森特","特奥多尔·梅尔菲"
"爱要来了","Naphat Chaithiangthum"
"再见语言","让-吕克·戈达尔"
"魂断布宜诺斯艾利斯","Natalia Meta"
"寻找隐世快乐","Alessandro Rak"
"罪恶赎金","亨里克·鲁本·甘茨"
"慢放镜头","金英卓"
"猫和老鼠：迷失之龙","Spike Brandt"
"哆啦A梦：伴我同行","八木龙一 "
"哆啦A梦：伴我同行"," 山崎贵"
"女子学校拷问部","吉田浩太"
"依然爱丽丝","理查德·格雷泽 "
"依然爱丽丝"," 沃什·韦斯特摩兰"
"夜间飞行","李宋喜一"
"I型起源","迈克·卡希尔"
"冬眠","努里·比格·锡兰"
"鸣梁海战","金韩民"
"大峰祖师","张蠡"
"美满姻缘","Peter Askin"
"决胜巅峰","托马斯·卡特"
"超高速！ 参勤交代","本木克英"
"泳队惊魂","Sopon Sukdapisit"
"致命录像带3：病毒","那奇欧·维加隆多 "
"致命录像带3：病毒"," Gregg Bishop "
"致命录像带3：病毒"," 马希尔·萨门多 "
"致命录像带3：病毒"," 贾斯汀·本森 "
"致命录像带3：病毒"," 艾伦·穆尔黑德"
"嫉妒","菲利普·加瑞尔"
"只要你说你爱我","日向朝子"
"弹窗惊魂","那奇欧·维加隆多"
"救世","克里斯蒂安·莱沃"
"我们的家族","石井裕也"
"肖申克的救赎","弗兰克·德拉邦特"
"盗梦空间","克里斯托弗·诺兰"
"这个杀手不太冷","吕克·贝松"
"阿甘正传","罗伯特·泽米吉斯"
"霸王别姬","陈凯歌"
"三傻大闹宝莱坞","拉吉库马尔·希拉尼"
"千与千寻","宫崎骏"
"美丽人生","罗伯托·贝尼尼"
"泰坦尼克号","詹姆斯·卡梅隆"
"海上钢琴师","朱塞佩·托纳多雷"
"机器人总动员","安德鲁·斯坦顿"
"少年派的奇幻漂流","李安"
"忠犬八公的故事","莱塞·霍尔斯道姆"
"辛德勒的名单","史蒂文·斯皮尔伯格"
"大话西游之大圣娶亲","刘镇伟"
"放牛班的春天","克里斯托夫·巴拉蒂"
"触不可及","奥利维·那卡什 "
"触不可及"," 艾力克·托兰达"
"怦然心动","罗伯·莱纳"
"当幸福来敲门","加布里尔·穆奇诺"
"龙猫","宫崎骏"
"楚门的世界","彼得·威尔"
"搏击俱乐部","大卫·芬奇"
"教父","弗朗西斯·福特·科波拉"
"V字仇杀队","詹姆斯·麦克特格"
"大话西游之月光宝盒","刘镇伟"
"飞屋环游记","彼特·道格特"
"疯狂原始人","柯克·德·米科 "
"疯狂原始人"," 克里斯·桑德斯"
"让子弹飞","姜文"
"无间道","刘伟强 "
"无间道"," 麦兆辉"
"天堂电影院","朱塞佩·托纳多雷"
"蝙蝠侠：黑暗骑士","克里斯托弗·诺兰"
"指环王3：王者无敌","彼得·杰克逊"
"天空之城","宫崎骏"
"罗马假日","威廉·惠勒"
"十二怒汉","西德尼·吕美特"
"两杆大烟枪","盖·里奇"
"鬼子来了","姜文"
"天使爱美丽","让-皮埃尔·热内"
"窃听风暴","弗洛里安·亨克尔·冯·多纳斯马"
"七宗罪","大卫·芬奇"
"乱世佳人","维克多·弗莱明 "
"乱世佳人"," 乔治·库克 "
"乱世佳人"," 山姆·伍德"
"美丽心灵","朗·霍华德"
"致命魔术","克里斯托弗·诺兰"
"剪刀手爱德华","蒂姆·波顿"
"飞越疯人院","米洛斯·福尔曼"
"被嫌弃的松子的一生","中岛哲也"
"闻香识女人","马丁·布莱斯"
"指环王1：魔戒再现","彼得·杰克逊"
"活着","张艺谋"
"指环王2：双塔奇兵","彼得·杰克逊"
"阿凡达","詹姆斯·卡梅隆"
"本杰明·巴顿奇事","大卫·芬奇"
